"RELADDR2","customer","bill type","SIC","billtype description","Search type","searchtype description","Long key","Customer name","Address 1","Address 2","Address 3","Town","Postal code","PRICING_SCHEDULE","SCHED_DESCRIPTION","Country code","Category 02","CUSTOMER_NATURE_DESCRIPTION","Category 21","CATEGORY_DESCRIPTION"
1001,1001,"B","","Bill To Address Only","O","Company","0001001","BAXTER HEALTHCARE CORPORATION","ONE BAXTER PARKWAY","","","DEERFIELD IL","60015","IC","Intercompany Transaction","US","200","Inter-Company","",""
1036,1036,"B","","Bill To Address Only","O","Company","0001036","BAXTER CORPORATION CANADA","7125 MISSISSAUGA RD","","","MISSISSAUGA - ONTARIO","L5N0C2","IC","Intercompany Transaction","CA","200","Inter-Company","",""
3011,3011,"B","","Bill To Address Only","O","Company","0003011","BAXTER CZECH SPOL.S.R.O.","KARLA ENGLISE 3201/6","","","PRAHA 5","15000","IC","Intercompany Transaction","CZ","200","Inter-Company","",""
3045,3045,"B","","Bill To Address Only","O","Company","0003045","BAXTER TURKEY RENAL","Baxter Turkey Renal Hizmetler A.Ş.","","Maslak Mah.Bilim Sok. No:5A Sun Plaza Ka","ISTANBUL","34396","IC","Intercompany Transaction","TR","200","Inter-Company","",""
3061,3061,"B","","Bill To Address Only","O","Company","0003061","BAXTER POLSKA SP.ZO.O.","UL.KRUCZKOWSKIEGO 8","","","WARSZAWA","00-380","IC","Intercompany Transaction","PL","200","Inter-Company","",""
3301,3301,"B","","Bill To Address Only","O","Company","0003301","LABORATORIOS BAXTER SA COLOMBIA","APARTADO AEREO 2446","CALLE #36 N°2C-22","","CALI","0000","IC","Intercompany Transaction","CO","200","Inter-Company","",""
3420,3420,"B","","Bill To Address Only","O","Company","0003420","BAXTER HOSPITALAR LTDA BRAZIL","AV DR CHUCRI ZAIDAN 1 240","120 ANDAR TORRE B","VILA SAO FRANCISCO","SAO PAOLO","04711130","IC","Intercompany Transaction","BR","200","Inter-Company","",""
7325,7325,"B","","Bill To Address Only","O","Company","0007325","SHIRE BELGIUM SPRL","RUE MONTOYER 47","","","BRUXELLES","1000","IC","Intercompany Transaction","BE","999","Default Customer Type","",""
7327,7327,"B","","Bill To Address Only","O","Company","0007327","BAXALTA SERVICES EUROPE SPRL","BOULEVARD RENE BRANQUART 80","","","LESSINES","7860","IC","Intercompany Transaction","BE","","","",""
7332,7332,"B","","Bill To Address Only","O","Company","0007332","BAXALTA BELGIUM MANUFACTURING SA","BOULEVARD RENE BRANQUART 80","","","LESSINES","7860","IC","Intercompany Transaction","BE","","","",""
8000,8000,"B","","Bill To Address Only","O","Company","EU0008000","BAXTER DEUTSCHLAND GMBH","EDISONSTRASSE 3-4","","","UNTERSCHLEISSHEIM","85716","IC","Intercompany Transaction","DE","200","Inter-Company","",""
8152,8152,"B","","Bill To Address Only","O","Company","","BAXTER AG","THURGAUERSTRASSE 130","","","GLATTPARK (OPFIKON)","8152","IC","Intercompany Transaction","CH","200","Inter-Company","",""
8159,8159,"X","","Bill To and Ship To Address","O","Company","0008159","BAXTER HEALTHCARE SA","THURGAUERSTRASSE 130","POSTFACH","","GLATTPARK OPFIKON","8152","IC","Intercompany Transaction","CH","999","Default Customer Type","",""
8201,8201,"B","","Bill To Address Only","O","Company","EU0008201","BAXTER HEALTHCARE GMBH","STELLA-KLEIN-LOEW-WEG 15","A-1020","","VIENNA","1020","IC","Intercompany Transaction","AT","200","Inter-Company","",""
8255,8255,"B","","Bill To Address Only","O","Company","0008255","BAXTER R&D EUROPE S.P.R.L.","80 BOULEVARD RENE BRANQUART","","","LESSINES","7860","IC","Intercompany Transaction","BE","999","Default Customer Type","",""
8256,8256,"X","","Bill To and Ship To Address","O","Company","0008256","BDCE","CHEMIN DE PAPIGNIES 17B","","","LESSINES","7860","IC","Intercompany Transaction","BE","999","Default Customer Type","",""
8261,8261,"B","","Bill To Address Only","O","Company","EU0008261","BAXTER SERVICES EUROPE SA (BSE SA)","BOULEVARD RENE BRANQUART 80","","","LESSINES","7860","IC","Intercompany Transaction","BE","999","Default Customer Type","",""
8263,8263,"X","","Bill To and Ship To Address","O","Company","EU0008263","BAXTER BELGIUM SPRL","BD RENE BRANQUART 80","","","LESSINES","7860","IC","Intercompany Transaction","BE","999","Default Customer Type","",""
8265,8265,"B","","Bill To Address Only","O","Company","","BAXTER AG","THURGAUERSTRASSE 130","","","GLATTPARK (OPFIKON)","8152","IC","Intercompany Transaction","CH","200","Inter-Company","",""
8300,8300,"B","","Bill To Address Only","O","Company","0008300","BAXTER SAS (FRANCE)","IMMEUBLE BERLIOZ","4 BIS RUE DE LA REDOUTE","","GUYANCOURT","78280","IC","Intercompany Transaction","FR","200","Inter-Company","",""
8382,8382,"X","","Bill To and Ship To Address","O","Company","EU0008382","BAXTER BV NETHERLANDS","KOBALTWEG  49","","","UTRECHT","3542 CE","IC","Intercompany Transaction","NL","999","Default Customer Type","",""
8400,8400,"B","","Bill To Address Only","O","Company","0008400","BAXTER S.P.A.","PIAZZALE DELL'INDUSTRIA 20","","PIAZZALE DELL'INDUSTRIA 20","ROMA","00144","IC","Intercompany Transaction","IT","200","Inter-Company","",""
8450,8450,"B","","Bill To Address Only","O","Company","","BAXTER SL SPAIN","POLIGONO INDUS SECTOR 14","CALLE POUET DE CAMILO, 2","RIBARROJA DE TURIA","VALENCIA","46394","IC","Intercompany Transaction","ES","200","Inter-Company","",""
8480,8480,"B","","Bill To Address Only","O","Company","EU0008480","BAXTER MEDICO FARMACEUTICA LDA","SINTRA BUSINESS PARK","ZONA INDUSTRIAL DA ABRUNHEIRA","ED10","SINTRA","2710-089","IC","Intercompany Transaction","PT","200","Inter-Company","",""
8487,8487,"B","","Bill To Address Only","O","Company","0008487","BAXTER MALTA TRADING COMPANY","A47 INDUSTRIAL ESTATE","","","MARSA","MRS3000","IC","Intercompany Transaction","MT","200","Inter-Company","",""
8490,8490,"B","","Bill To Address Only","O","Company","0008490","BAXTER HELLAS GREECE","MARINOU ANTYPA 47AND ANAFIS ST","","","NEO IRAKLEIO ATHENS","141 21","IC","Intercompany Transaction","GR","200","Inter-Company","",""
8500,8500,"X","","Bill To and Ship To Address","O","Company","0008500","BAXTER A/S DENMARK","TOBAKSVEJEN 2A","","","SOBORG","2860","IC","Intercompany Transaction","DK","999","Default Customer Type","",""
8501,8501,"X","","Bill To and Ship To Address","O","Company","EU0008501","BAXTER OY FINLAND","PO BOX 119","","","HELSINKI","00181","IC","Intercompany Transaction","FI","999","Default Customer Type","",""
8502,8502,"X","","Bill To and Ship To Address","O","Company","0008502","BAXTER A/S NORWAY","Nydalsveien 33","","","OSLO 4","0406","IC","Intercompany Transaction","NO","999","Default Customer Type","",""
8503,8503,"X","","Bill To and Ship To Address","O","Company","EU0008503","BAXTER MEDICAL AB","","","Torshamnsgatan 48","Kista","16440","IC","Intercompany Transaction","SE","999","Default Customer Type","",""
8525,8525,"B","","Bill To Address Only","O","Company","0008525","GAMBRO LUNDIA AB","P.O. BOX 10101","","","LUND","SE 220 10","IC","Intercompany Transaction","SE","999","Default Customer Type","",""
8550,8550,"B","","Bill To Address Only","O","Company","0008550","BAXTER HEALTHCARE LTD  (UK)","CAXTON WAY","","","THETFORD NORFOLK","IP24 3SE","IC","Intercompany Transaction","GB","200","Inter-Company","",""
8559,8559,"S","","Ship To Address Only","O","Company","0008559","BAXTER IRELAND MARKETING","UNIT 6-8","DEANSGRANGE BUSINESS PARK","BLACKROCK","DUBLIN","A94 XD50","IC","Intercompany Transaction","IE","999","Default Customer Type","",""
1001001,1001001,"S","USADDR","Ship To Address Only","W","Warehouse","1US","1US COUNTRY BRANCH PLANT","ONE BAXTER PARKWAY","","","DEERFIELD","60015-4625","IC","Intercompany Transaction","US","200","Inter-Company","",""
1001165,1001165,"S","USADDR","Ship To Address Only","W","Warehouse","1TA","1TA TAMPA, FLORIDA (CAH DC)","11210 N MCKINLEY DR","","","TAMPA","33612-6410","IC","Intercompany Transaction","US","200","Inter-Company","",""
1001411,1001411,"S","USADDR","Ship To Address Only","W","Warehouse","1JI","1JI AMB INFUSION IRVINE PLANT","17511 ARMSTRONG AVE","","","IRVINE","92614-5725","IC","Intercompany Transaction","US","200","Inter-Company","",""
