co#	ordertype	ordertypedesc	order	orderdate	ordercount	linecount	shippedorders	shippedlines	invoicedorders	invoicedlines	sales_(eur)
08300	DC	Deemed Commission Invoice	20000387	2020-05-19	1	114	1	114	1	114	14973
08300	SA	Sample Order	20072588	2020-05-19	1	1	1	1	1	1	0
08300	SO	Sales Order	20072013	2020-05-19	1	2	1	2	1	2	4788
08300	SO	Sales Order	20072113	2020-05-19	1	1	1	1	1	1	5160
08300	SO	Sales Order	20072151	2020-05-19	1	5	1	5	0	0	0
08300	SO	Sales Order	20072420	2020-05-19	1	4	1	4	1	4	2247
08300	SO	Sales Order	20072452	2020-05-19	1	1	1	1	1	1	0
08300	SO	Sales Order	20072469	2020-05-19	1	2	1	2	1	2	11495
08300	SO	Sales Order	20072623	2020-05-19	1	6	1	6	1	6	1677
08300	SO	Sales Order	20072660	2020-05-19	1	1	1	1	0	0	0
08300	SO	Sales Order	20072664	2020-05-19	1	2	1	2	1	2	0
08300	SZ	EDI Sales Order	20072123	2020-05-19	1	8	1	8	1	8	6108
08300	SZ	EDI Sales Order	20072231	2020-05-19	1	5	1	5	1	5	2584
08300	SZ	EDI Sales Order	20072233	2020-05-19	1	1	1	1	1	1	396
08300	SZ	EDI Sales Order	20072276	2020-05-19	1	7	1	7	1	7	964
08300	SZ	EDI Sales Order	20072322	2020-05-19	1	6	1	6	1	6	5571
08300	SZ	EDI Sales Order	20072389	2020-05-19	1	3	1	3	1	3	180
08300	SZ	EDI Sales Order	20072543	2020-05-19	1	1	1	1	0	0	0
08300	SZ	EDI Sales Order	20072585	2020-05-19	1	2	1	2	1	2	1538
08300	SZ	EDI Sales Order	20072630	2020-05-19	1	3	1	2	1	2	1634
08300	S4	Do Not Use	20073032	2020-05-20	1	1	1	1	1	1	0
08300	SO	Sales Order	20073300	2020-05-20	1	2	1	2	1	2	165
08300	SO	Sales Order	20072778	2020-05-20	1	4	1	4	1	4	12378
08300	SO	Sales Order	20072932	2020-05-20	1	1	1	1	1	1	682
08300	SO	Sales Order	20073064	2020-05-20	1	1	1	1	1	1	0
08300	SO	Sales Order	20073081	2020-05-20	1	1	1	1	1	1	0
08300	SO	Sales Order	20073117	2020-05-20	1	1	1	1	1	1	528
08300	SO	Sales Order	20073266	2020-05-20	1	1	1	1	1	1	941
08300	SZ	EDI Sales Order	20072915	2020-05-20	1	2	1	2	1	2	7231
08300	SZ	EDI Sales Order	20072968	2020-05-20	1	2	1	2	1	1	288
08300	SZ	EDI Sales Order	20073014	2020-05-20	1	2	1	2	1	2	745
08300	SZ	EDI Sales Order	20073279	2020-05-20	1	2	1	2	1	2	2752
08300	SZ	EDI Sales Order	20073776	2020-05-20	1	2	1	2	1	2	4976
08300	SZ	EDI Sales Order	20073784	2020-05-20	1	1	1	1	1	1	1107
08300	SZ	EDI Sales Order	20073789	2020-05-20	1	7	1	7	1	7	3630
08300	DI	Deemed Invoice (Rev)	20000392	2020-05-21	1	255	1	255	1	255	-262164
08300	SO	Sales Order	20073894	2020-05-22	1	7	1	7	1	7	0
08300	SO	Sales Order	20074019	2020-05-22	1	1	1	1	1	1	51
08300	SZ	EDI Sales Order	20073778	2020-05-22	1	1	1	1	1	1	1140
08300	SZ	EDI Sales Order	20073898	2020-05-22	1	2	1	2	1	2	460
08300	SZ	EDI Sales Order	20073904	2020-05-22	1	2	1	2	1	2	1877
08300	SZ	EDI Sales Order	20073932	2020-05-22	1	2	1	2	1	2	550
08300	SZ	EDI Sales Order	20073933	2020-05-22	1	5	1	5	1	5	3532
08300	SZ	EDI Sales Order	20073938	2020-05-22	1	2	1	2	1	2	1352
08300	DC	Deemed Commission Invoice	20000400	2020-05-23	1	176	1	176	1	176	38482
08300	S4	Do Not Use	20074264	2020-05-23	1	1	1	1	1	1	0
08300	DQ	Miscellaneous Debit	20074672	2020-05-25	1	1	1	1	1	1	38
08300	S4	Do Not Use	20075302	2020-05-25	1	1	1	1	1	1	0
08300	S4	Do Not Use	20075304	2020-05-25	1	1	1	1	1	1	0
08300	SO	Sales Order	20074635	2020-05-25	1	1	1	1	1	1	120
08300	SO	Sales Order	20074735	2020-05-25	1	5	1	5	1	5	2507
08300	SO	Sales Order	20074781	2020-05-25	1	27	1	27	1	24	27375
